Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Price,Image Src,Variant Weight Unit,Status
estuco-bloqueador,Estuco Bloqueador Ultra Seco,"Bloquea la humedad ascendente desde la raíz. Formulación nanotecnológica que sella poros y grietas.<br><br>✅ Impermeabiliza desde adentro<br>✅ Previene salitre y eflorescencia<br>✅ Base para sistemas de impermeabilización<br>✅ 100% biodegradable<br><br>Ideal para paredes con humedad, zócalos, y superficies porosas.",Ultra Seco,Impermeabilizantes,"hidrofóbico, construcción, impermeabilizante, salitre",TRUE,Presentación,1/4 Galón,US-EST-025,1000,shopify,50,6.40,,kg,active
estuco-bloqueador,Estuco Bloqueador Ultra Seco,"Bloquea la humedad ascendente desde la raíz. Formulación nanotecnológica que sella poros y grietas.<br><br>✅ Impermeabiliza desde adentro<br>✅ Previene salitre y eflorescencia<br>✅ Base para sistemas de impermeabilización<br>✅ 100% biodegradable<br><br>Ideal para paredes con humedad, zócalos, y superficies porosas.",Ultra Seco,Impermeabilizantes,"hidrofóbico, construcción, impermeabilizante, salitre",TRUE,Presentación,Galón,US-EST-GAL,3785,shopify,50,19.00,,kg,active
fortificador,Fortificador de Superficies Ultra Seco,"Consolida superficies arenosas y polvorientas. Penetración profunda para endurecer el sustrato.<br><br>✅ Endurece superficies débiles<br>✅ Sella polvo y arena<br>✅ Aumenta adherencia<br>✅ Formulación biodegradable",Ultra Seco,Impermeabilizantes,"endurecedor, construcción, consolidante",TRUE,Presentación,1 Litro,US-FOR-1L,1000,shopify,50,19.00,,kg,active
fortificador,Fortificador de Superficies Ultra Seco,"Consolida superficies arenosas y polvorientas. Penetración profunda para endurecer el sustrato.<br><br>✅ Endurece superficies débiles<br>✅ Sella polvo y arena<br>✅ Aumenta adherencia<br>✅ Formulación biodegradable",Ultra Seco,Impermeabilizantes,"endurecedor, construcción, consolidante",TRUE,Presentación,Galón,US-FOR-GAL,3785,shopify,50,52.00,,kg,active
fortificador,Fortificador de Superficies Ultra Seco,"Consolida superficies arenosas y polvorientas. Penetración profunda para endurecer el sustrato.<br><br>✅ Endurece superficies débiles<br>✅ Sella polvo y arena<br>✅ Aumenta adherencia<br>✅ Formulación biodegradable",Ultra Seco,Impermeabilizantes,"endurecedor, construcción, consolidante",TRUE,Presentación,Cuñete,US-FOR-CUN,18000,shopify,30,254.50,,kg,active
solucion-exteriores,Solución Exteriores Ultra Seco,"Protección invisible para fachadas y pisos externos. Resiste lluvia, sol y contaminación.<br><br>✅ Repele agua sin alterar la apariencia<br>✅ Protección UV<br>✅ Previene moho y algas<br>✅ Respirable y transpirable",Ultra Seco,Impermeabilizantes,"exteriores, fachadas, hidrofóbico",TRUE,Presentación,1 Litro,US-EXT-1L,1000,shopify,50,16.99,,kg,active
solucion-exteriores,Solución Exteriores Ultra Seco,"Protección invisible para fachadas y pisos externos. Resiste lluvia, sol y contaminación.<br><br>✅ Repele agua sin alterar la apariencia<br>✅ Protección UV<br>✅ Previene moho y algas<br>✅ Respirable y transpirable",Ultra Seco,Impermeabilizantes,"exteriores, fachadas, hidrofóbico",TRUE,Presentación,1 Litro Atomizador,US-EXT-1LA,1000,shopify,40,17.99,,kg,active
solucion-exteriores,Solución Exteriores Ultra Seco,"Protección invisible para fachadas y pisos externos. Resiste lluvia, sol y contaminación.<br><br>✅ Repele agua sin alterar la apariencia<br>✅ Protección UV<br>✅ Previene moho y algas<br>✅ Respirable y transpirable",Ultra Seco,Impermeabilizantes,"exteriores, fachadas, hidrofóbico",TRUE,Presentación,Galón,US-EXT-GAL,3785,shopify,40,48.00,,kg,active
solucion-exteriores,Solución Exteriores Ultra Seco,"Protección invisible para fachadas y pisos externos. Resiste lluvia, sol y contaminación.<br><br>✅ Repele agua sin alterar la apariencia<br>✅ Protección UV<br>✅ Previene moho y algas<br>✅ Respirable y transpirable",Ultra Seco,Impermeabilizantes,"exteriores, fachadas, hidrofóbico",TRUE,Presentación,Cuñete 18L,US-EXT-CUN,18000,shopify,20,217.50,,kg,active
solucion-interiores,Solución Interiores Ultra Seco,"Impermeabilizante para baños, cocinas y zonas internas. Invisible, transpirable y duradero.<br><br>✅ Ideal para duchas y cocinas<br>✅ No cambia el color de la superficie<br>✅ Previene moho y hongos<br>✅ Fácil aplicación",Ultra Seco,Impermeabilizantes,"interiores, baños, cocinas",TRUE,Presentación,1 Litro,US-INT-1L,1000,shopify,50,13.99,,kg,active
solucion-interiores,Solución Interiores Ultra Seco,"Impermeabilizante para baños, cocinas y zonas internas. Invisible, transpirable y duradero.<br><br>✅ Ideal para duchas y cocinas<br>✅ No cambia el color de la superficie<br>✅ Previene moho y hongos<br>✅ Fácil aplicación",Ultra Seco,Impermeabilizantes,"interiores, baños, cocinas",TRUE,Presentación,1 Litro Atomizador,US-INT-1LA,1000,shopify,40,14.99,,kg,active
solucion-interiores,Solución Interiores Ultra Seco,"Impermeabilizante para baños, cocinas y zonas internas. Invisible, transpirable y duradero.<br><br>✅ Ideal para duchas y cocinas<br>✅ No cambia el color de la superficie<br>✅ Previene moho y hongos<br>✅ Fácil aplicación",Ultra Seco,Impermeabilizantes,"interiores, baños, cocinas",TRUE,Presentación,Galón,US-INT-GAL,3785,shopify,40,38.00,,kg,active
solucion-interiores,Solución Interiores Ultra Seco,"Impermeabilizante para baños, cocinas y zonas internas. Invisible, transpirable y duradero.<br><br>✅ Ideal para duchas y cocinas<br>✅ No cambia el color de la superficie<br>✅ Previene moho y hongos<br>✅ Fácil aplicación",Ultra Seco,Impermeabilizantes,"interiores, baños, cocinas",TRUE,Presentación,Cuñete 18L,US-INT-CUN,18000,shopify,20,170.00,,kg,active
pintura-hidrofobica,Pintura Super Hidrofóbica Ultra Seco,"Pintura que repele el agua y la suciedad. Efecto lotus autolimpiante.<br><br>✅ Efecto lotus: el agua rueda sin mojar<br>✅ Autolimpiante con la lluvia<br>✅ Protección duradera<br>✅ Acabado mate premium",Ultra Seco,Pinturas,"pintura, hidrofóbica, autolimpiante",TRUE,Presentación,Galón,US-PIN-GAL,3785,shopify,30,34.00,,kg,active
nano-aditivo,Nano Aditivo Ultra Seco,"Aditivo nanotecnológico para concreto y morteros de alto rendimiento. Aumenta resistencia e impermeabiliza.<br><br>✅ Aumenta resistencia del concreto<br>✅ Impermeabiliza desde el interior<br>✅ Reduce grietas por contracción<br>✅ Rinde hasta 1m³",Ultra Seco,Aditivos,"aditivo, concreto, nanotecnología",TRUE,Presentación,600gr,US-ADI-600,600,shopify,100,15.00,,kg,active
champu-nano,Champú Nano-Concentrado Ultra Seco,"Encapsula la suciedad para un lavado rápido y seguro. Sin rayas, brillo profesional.<br><br>✅ pH neutro, no daña la pintura<br>✅ Ultra concentrado, rinde más<br>✅ Efecto repelente de agua<br>✅ Ideal para lavado a mano",Ultra Seco,Productos Vehiculares,"champú, auto, lavado",TRUE,Presentación,1 Litro,US-CHA-1L,1000,shopify,50,12.00,,kg,active
champu-nano,Champú Nano-Concentrado Ultra Seco,"Encapsula la suciedad para un lavado rápido y seguro. Sin rayas, brillo profesional.<br><br>✅ pH neutro, no daña la pintura<br>✅ Ultra concentrado, rinde más<br>✅ Efecto repelente de agua<br>✅ Ideal para lavado a mano",Ultra Seco,Productos Vehiculares,"champú, auto, lavado",TRUE,Presentación,Galón,US-CHA-GAL,3785,shopify,30,35.00,,kg,active
cera-nano,Cera Nano Protectora Ultra Seco,"Brillo y protección duradera para superficies del hogar. Antimanchas y fácil limpieza.<br><br>✅ Brillo espejo duradero<br>✅ Repele agua y manchas<br>✅ Fácil aplicación<br>✅ Aroma fresco",Ultra Seco,Productos para el Hogar,"cera, brillo, protección",TRUE,Presentación,500ml,US-CER-500,500,shopify,60,15.00,,kg,active
escudo-ceramico,Escudo Cerámico Ultra Seco,"Protección extrema contra manchas y rayones. Capa cerámica de grado industrial para pisos.<br><br>✅ Dureza 9H (dureza de lápiz)<br>✅ Resistente a químicos<br>✅ Brillo profundo permanente<br>✅ Protección hasta 2 años",Ultra Seco,Productos para el Hogar,"cerámico, pisos, protección",TRUE,Presentación,1 Litro,US-ESC-1L,1000,shopify,40,45.00,,kg,active
